2020-12-01 20:06:52.280  INFO 16092 --- [main] com.inet.INetApplicationTests            : Starting INetApplicationTests on DESKTOP-TSJVEJ5 with PID 16092 (started by HCY in D:\8.items\spring-boot-inet-scratch)
2020-12-01 20:06:52.286 DEBUG 16092 --- [main] com.inet.INetApplicationTests            : Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2020-12-01 20:06:52.286  INFO 16092 --- [main] com.inet.INetApplicationTests            : No active profile set, falling back to default profiles: default
2020-12-01 20:06:57.296  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.332  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.333  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.337  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.337  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.341  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.344  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.348  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.349  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.372  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.373  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.440  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.448  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.452  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.453  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.453  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.473  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.473  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.477  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.482  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.483  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.483  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.483  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: Boolean, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.484  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.484  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.485  WARN 16092 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-01 20:06:57.514  INFO 16092 --- [main] com.inet.INetApplicationTests            : Started INetApplicationTests in 5.688 seconds (JVM running for 6.836)
